,county,diquat
696,"Lafayette, Florida",0.0
697,"Lafayette, Louisiana",0.0
698,"Lafayette, Wisconsin",0.0
699,"Lafourche, Louisiana",0.0
700,"Lagrange, Indiana",0.0
701,"Lake, California",0.02385185185185185
702,"Lake, Florida",0.0
703,"Lake, Illinois",0.0
704,"Lake, Indiana",0.0
705,"Lake, Montana",0.0
706,"Lake, Oregon",0.0
707,"Lake, South Dakota",0.0
708,"Lamar, Alabama",0.403
709,"Lamoure, North Dakota",0.0
710,"Lancaster county, Pennsylvania",0.0
711,"Lancaster, Nebraska",0.0
712,"Lancaster, Pennsylvania",0.0
713,"Lancaster, South Carolina",0.0
714,"Lander, Nevada",0.0
715,"Lane, Oregon",0.0
716,"Langlade, Wisconsin",0.0
717,"Laporte, Indiana",0.0
718,"Laramie, Wyoming",0.0
719,"Larue, Kentucky",0.0
720,"Lasalle, Illinois",0.0
721,"Latah, Idaho",0.0
722,"Lauderdale, Alabama",0.05173913043478261
723,"Laurel, Kentucky",0.0
724,"Laurens, South Carolina",0.0
725,"Lawrence county, Arkansas",0.0
726,"Lawrence, Alabama",0.0
727,"Lawrence, Arkansas",0.0
728,"Lawrence, Illinois",0.0
729,"Lawrence, Indiana",0.0
730,"Lawrence, Kentucky",0.0
731,"Lawrence, Ohio",0.0
732,"Lawrence, Pennsylvania",0.0
733,"Lawrence, South Dakota",0.0
734,"Lea, New Mexico",0.0
735,"Lebanon county, Pennsylvania",0.0
736,"Lebanon, Pennsylvania",0.0
737,"Lee county, South Carolina",0.0
738,"Lee, Alabama",0.34494
739,"Lee, Arkansas",0.0
740,"Lee, Florida",0.0
741,"Lee, Illinois",0.0
742,"Lee, Kentucky",0.0
743,"Lee, South Carolina",0.0
744,"Leelanau, Michigan",0.0
745,"Lehigh county, Pennsylvania",0.0
746,"Lehigh, Pennsylvania",0.0
747,"Lemhi, Idaho",0.0
748,"Leon, Florida",0.0
749,"Leslie, Kentucky",0.0
750,"Letcher, Kentucky",0.0
751,"Levy county, Florida",0.0
752,"Levy, Florida",0.0
753,"Lewis, Idaho",0.0
754,"Lewis, Kentucky",0.0
755,"Lewis, New York",0.0
756,"Lewis, Washington",0.0
757,"Lewis, West Virginia",0.0
758,"Lexington county, South Carolina",0.0
759,"Lexington, South Carolina",0.0
760,"Liberty, Florida",0.0
761,"Licking, Ohio",0.0
762,"Limestone, Alabama",0.0
763,"Lincoln parish, Louisiana",0.0
764,"Lincoln, Arkansas",0.0
765,"Lincoln, Idaho",0.0
766,"Lincoln, Kentucky",0.0
767,"Lincoln, Louisiana",0.0
768,"Lincoln, Nebraska",0.0
769,"Lincoln, Nevada",0.0
770,"Lincoln, New Mexico",0.0038095238095238095
771,"Lincoln, Oklahoma",0.0
772,"Lincoln, Oregon",0.0
773,"Lincoln, Washington",0.0
774,"Lincoln, Wisconsin",0.0
775,"Linn county, Oregon",0.0
776,"Linn, Oregon",0.0
777,"Litchfield, Connecticut",0.0
778,"Little river, Arkansas",0.0
779,"Livingston parish, Louisiana",0.0
780,"Livingston, Illinois",0.0
781,"Livingston, Kentucky",0.0
