,county,uranium_combined
514,"Gloucester, New Jersey",1.9627910170111296
515,"Gloucester, Virginia",0.0
516,"Golden valley, Montana",0.0
517,"Goochland, Virginia",3.8706
518,"Goodhue, Minnesota",0.0
519,"Gooding, Idaho",3.322000596
520,"Goshen, Wyoming",21.73537272727273
521,"Gove, Kansas",24.0
522,"Grady, Oklahoma",1.9163522012578627
523,"Grafton, New Hampshire",5.905146278317152
524,"Graham, Arizona",1.5799999999999998
525,"Graham, Kansas",19.339130434782607
526,"Graham, North Carolina",1.0642857142857143
527,"Grand forks, North Dakota",2.577
528,"Grand isle, Vermont",0.07142857142857142
529,"Grant, Kansas",21.25
530,"Grant, Louisiana",0.06930232558139535
531,"Grant, New Mexico",24.636836734693876
532,"Grant, North Dakota",0.0
533,"Grant, Oklahoma",6.526000000000002
534,"Grant, Oregon",0.0
535,"Grant, South Dakota",0.0
536,"Grant, Washington",0.0
537,"Grant, Wisconsin",1.67725
538,"Granville, North Carolina",0.20730434782608695
539,"Graves, Kentucky",0.01
540,"Gray, Kansas",16.895
541,"Grayson, Kentucky",0.019866666666666668
542,"Grayson, Texas",1.2651739130434783
543,"Greeley, Nebraska",18.680875
544,"Green lake, Wisconsin",1.4155
545,"Green, Wisconsin",0.24
546,"Greene, Illinois",3.3
547,"Greene, Missouri",0.0
548,"Greene, New York",1.6094979999999999
549,"Greene, North Carolina",0.0
550,"Greene, Pennsylvania",0.0
551,"Greene, Virginia",0.0
552,"Greenville, South Carolina",0.0
553,"Greenwood, South Carolina",1.0
554,"Greer, Oklahoma",0.05238095238095238
555,"Gregory, South Dakota",0.0
556,"Griggs, North Dakota",0.8
557,"Grimes, Texas",0.0
558,"Grundy, Illinois",0.5846685500000001
559,"Guadalupe, New Mexico",27.299959999999995
560,"Guilford, North Carolina",3.1840899999999985
561,"Guillford, North Carolina",0.0
562,"Gulf, Florida",0.0
563,"Guthrie, Iowa",9.174999999999999
564,"Haines, Alaska",0.0
565,"Hale, Texas",16.011499999999998
566,"Halifax, North Carolina",0.1809285714285714
567,"Halifax, Virginia",19.241568627450977
568,"Hall, Nebraska",31.260847826086952
569,"Hamilton, Indiana",0.0
570,"Hamilton, Kansas",2.1
571,"Hamilton, Nebraska",6.705
572,"Hamilton, Ohio",0.0
573,"Hamlin, South Dakota",4.133333333333333
574,"Hampden, Massachusetts",0.0
575,"Hampshire, Massachusetts",7.125
576,"Hampton, South Carolina",0.0
577,"Hancock, Illinois",0.0
578,"Hancock, Kentucky",0.265
579,"Hancock, West Virginia",3.3256799999999997
580,"Hanover, Virginia",0.011590909090909091
581,"Hardee, Florida",0.8593575
582,"Hardin, Kentucky",0.46024916666666665
583,"Harding, New Mexico",4.5
584,"Harding, South Dakota",0.0
585,"Harford, Maryland",0.0
586,"Harlan, Kentucky",1.0
587,"Harlan, Nebraska",8.94
588,"Harmon, Oklahoma",2.1687499999999997
589,"Harnett, North Carolina",0.0
590,"Harney, Oregon",0.75
591,"Harper, Oklahoma",4.533333333333335
592,"Harris, Texas",18.602547169811334
593,"Harrison, Kentucky",0.254
594,"Harrison, Missouri",0.21012820512820513
595,"Hartford, Connecticut",1.369947126213593
596,"Hartley, Texas",10.5
597,"Haskell, Oklahoma",0.0
598,"Hawaii, Hawaii",0.0
599,"Haywood, North Carolina",0.0
600,"Henderson, Illinois",0.761393314814815
601,"Henderson, Kentucky",0.1922222222222222
602,"Henderson, North Carolina",1.762086956521739
603,"Hendricks, Indiana",0.454
604,"Hendry, Florida",0.14155
605,"Hennepin, Minnesota",0.0
606,"Henrico, Virginia",37.10633333333333
607,"Henry, Illinois",0.010004285714285716
608,"Henry, Iowa",0.0
609,"Henry, Kentucky",0.04
610,"Herkimer, New York",0.7729788888888889
611,"Hernando, Florida",3.8317702631578947
612,"Hertford, North Carolina",0.0
613,"Hickory, Missouri",0.0
614,"Hidalgo, New Mexico",49.81269841269841
615,"Highlands, Florida",0.01593953488372093
616,"Hill, Montana",0.5
617,"Hills, Florida",0.8093856386292834
618,"Hills, New Hampshire",9.968405797101449
619,"Hillsborough county, New Hampshire",0.0
620,"Hillsborough, Florida",1.8496630769230773
621,"Hitchcock, Nebraska",16.191333333333333
622,"Hockley, Texas",26.751857142857144
623,"Hodgeman, Kansas",22.0
624,"Hoke, North Carolina",0.09405625000000001
625,"Honolulu, Hawaii",0.0
626,"Hood river, Oregon",0.005572499999999999
627,"Hoonah-angoon, Alaska",0.0
628,"Horry, South Carolina",0.0
629,"Houston, Minnesota",0.0
630,"Howard, Indiana",0.0
631,"Howard, Maryland",1.2416666666666665
632,"Howard, Nebraska",15.2725
633,"Hudson, New Jersey",1.0
634,"Hudspeth, Texas",21.061
635,"Hughes, Oklahoma",0.2777777777777778
636,"Hughes, South Dakota",0.0
637,"Humboldt, California",1.4490249999999998
638,"Humboldt, Nevada",2.571367088607595
639,"Hunterdon, New Jersey",2.5136189905808477
640,"Huntingdon, Pennsylvania",0.0
641,"Huntington, Indiana",2.0
642,"Hyde, North Carolina",0.0
643,"Iberia parish, Louisiana",0.0
644,"Iberia, Louisiana",0.0
645,"Iberville, Louisiana",0.0
646,"Idaho, Idaho",0.0
647,"Imperial, California",7.338688235294118
648,"Indiana, Pennsylvania",0.7024285714285714
649,"Inyo, California",13.179428455284548
650,"Iowa, Iowa",0.0
651,"Iowa, Wisconsin",0.6236666666666667
652,"Iredell, North Carolina",6.230555161290321
653,"Iron, Missouri",0.23780952380952383
654,"Isanti, Minnesota",0.3427
655,"Island, Washington",0.0
656,"Itasca, Minnesota",3.576
657,"Jackson, Illinois",0.0
658,"Jackson, Louisiana",0.023809523809523808
659,"Jackson, North Carolina",13.453923222748807
660,"Jackson, Oklahoma",1.4306896551724133
661,"Jackson, Oregon",0.40298507462686567
662,"Jackson, Wisconsin",0.018
663,"Jasper, Indiana",0.33636363636363636
664,"Jasper, Missouri",0.1821111111111111
665,"Jay, Indiana",0.0
666,"Jefferson davis, Louisiana",0.06772727272727273
667,"Jefferson, Idaho",0.5438641176470587
668,"Jefferson, Indiana",0.48
669,"Jefferson, Kentucky",0.22995384615384615
670,"Jefferson, Louisiana",0.6666666666666666
671,"Jefferson, Missouri",0.9685000000000001
672,"Jefferson, Montana",42.9873417721519
673,"Jefferson, Oklahoma",1.5120000000000002
674,"Jefferson, Oregon",0.09090909090909091
675,"Jefferson, Pennsylvania",0.0
676,"Jefferson, Wisconsin",0.6305625
677,"Jennings, Indiana",0.0
678,"Jessamine, Kentucky",0.3337
679,"Jewell, Kansas",22.5
680,"Jim wells, Texas",40.11318750000001
681,"Jo daviess, Illinois",0.426885
682,"Johnson, Illinois",0.0894
683,"Johnson, Indiana",0.27
684,"Johnson, Iowa",0.9716969696969695
685,"Johnson, Kansas",0.0
686,"Johnson, Nebraska",12.963
687,"Johnson, Wyoming",6.877000000000001
688,"Johnston, North Carolina",117.75968124999997
689,"Johnston, Oklahoma",1.2009259259259262
690,"Jones, Iowa",0.0
691,"Jones, North Carolina",0.0
692,"Josephine, Oregon",0.41133333333333333
693,"Juab, Utah",9.064166666666665
694,"Judith basin, Montana",1.0
695,"Juneau, Alaska",0.0
696,"Juneau, Wisconsin",0.484
697,"Juniata, Pennsylvania",0.5300426666666667
