,county,xylenes_total
512,"Clay, West Virginia",0.0
513,"Clayton, Iowa",0.11382352941176471
514,"Clearfield county, Pennsylvania",0.0
515,"Clearfield, Pennsylvania",0.03222222222222222
516,"Clearwater, Idaho",0.0
517,"Clearwater, Minnesota",0.08333333333333333
518,"Cleburne, Alabama",0.0
519,"Cleburne, Arkansas",0.04652173913043479
520,"Clermont, Ohio",0.08855555555555555
521,"Cleveland, Arkansas",1.0739130434782609
522,"Cleveland, North Carolina",0.0
523,"Cleveland, Oklahoma",0.022272727272727274
524,"Clinton, Illinois",0.032
525,"Clinton, Indiana",0.0
526,"Clinton, Iowa",1.7046428571428573
527,"Clinton, Kentucky",0.0
528,"Clinton, Michigan",2.759420289855072
529,"Clinton, Missouri",0.0
530,"Clinton, Ohio",0.0
531,"Clinton, Pennsylvania",0.0
532,"Cloud, Kansas",8.848484848484848
533,"Coal, Oklahoma",0.0
534,"Cochise, Arizona",1.0604960835509136
535,"Cochran, Texas",3.0090909090909093
536,"Cocke, Tennessee",0.0
537,"Coconino, Arizona",0.7706024096385542
538,"Codington, South Dakota",0.0
539,"Coffee, Alabama",0.021171875
540,"Coffee, Tennessee",0.0
541,"Coffey, Kansas",0.35
542,"Coke, Texas",0.0
543,"Colbert, Alabama",0.0
544,"Cole, Missouri",0.08325
545,"Coleman, Texas",0.0
546,"Coles, Illinois",0.0
547,"Colfax, Nebraska",0.06944444444444445
548,"Colfax, New Mexico",0.0
549,"Colleton, South Carolina",0.0
550,"Collier, Florida",0.01440677966101695
551,"Collin, Texas",0.016046511627906976
552,"Collingsworth, Texas",0.052941176470588235
553,"Colorado, Texas",0.02962962962962963
554,"Columbia county, Pennsylvania",0.0
555,"Columbia, Arkansas",0.27516129032258063
556,"Columbia, Florida",0.0
557,"Columbia, Oregon",0.0
558,"Columbia, Pennsylvania",0.0
559,"Columbia, Washington",0.0
560,"Columbia, Wisconsin",0.0
561,"Columbiana, Ohio",2.7790184049079754
562,"Columbus county, North Carolina",0.0
563,"Columbus, North Carolina",0.07861635220125786
564,"Colusa, California",0.0
565,"Comal, Texas",0.0
